ID,Ethylbenzene,"m,p-Xylene",o-Xylene,Propylbenzene,m-Ethyltoluene,C3.alkylbenzene.unid.1,C3.alkylbenzene.unid.2,o-Ethyltoluene,"1,2,4,-Trimethylbenzene","1,2,3,-Trimethylbenzene",C4.alkylbenzene.unid.1,C4.alkylbenzene.unid.2,C4.alkylbenzene.unid.3,C4.alkylbenzene.unid.4,C4.alkylbenzene.unid.5
8,0.234728641,0.874868898,0.35117935,0.084787044,0.277894055,0.123394664,0.134361593,0.127408351,0.448822717,0.09088188,0.028041879,0.066139848,0.046203693,0.054710008,0.073247094
8,0.224839226,0.847803881,0.34276936,0.084061835,0.285435088,0.124874083,0.141876428,0.131371861,0.471357001,0.095689366,0.029824197,0.069971036,0.048852072,0.060527139,0.080582377
8,0.185050425,0.691146838,0.277676708,0.066505847,0.230915791,0.10091097,0.115174829,0.105944543,0.37483651,0.077108874,0.024363349,0.057020585,0.038059402,0.047885375,0.064193779
8,0.254126343,0.959812285,0.385247772,0.099238101,0.326024552,0.141243822,0.158732174,0.15094796,0.53462129,0.110923054,0.035220454,0.081893251,0.056275945,0.070193632,0.094149244
8,0.223158657,0.835596222,0.33845968,0.083349371,0.277900824,0.120153037,0.134345593,0.129931382,0.448262262,0.08975377,0.028908434,0.066558778,0.0449434,0.056243353,0.076001997
9,0.485303404,1.671619765,0.67521867,0.211890318,0.683604049,0.295852167,0.401916452,0.329316199,1.029352956,0.249122105,0.114910882,0.199895317,0.125551221,0.178705828,0.329175286
9,0.48742509,1.686247597,0.676329436,0.214358759,0.685687611,0.298877727,0.402529672,0.324510897,1.024916905,0.250775379,0.108994467,0.19878003,0.135278418,0.183144134,0.328863356
9,0.537737523,1.863894381,0.745485272,0.238906646,0.760840356,0.33404526,0.453664997,0.361810568,1.141551396,0.279739289,0.123364617,0.221229795,0.142509198,0.201960425,0.371668934
10,0.254041193,0.826404718,0.341968601,0.10628297,0.34071046,0.142813327,0.187980761,0.188068015,0.526734916,0.127683901,0.059996972,0.111857145,0.070692775,0.092699606,0.170864136
10,0.241086392,0.769334062,0.319220791,0.098862278,0.308740594,0.129088997,0.171075863,0.169011049,0.469397991,0.114065563,0.054154662,0.099002383,0.061955221,0.082065172,0.148533695
10,0.223194165,0.707999233,0.290970558,0.087171678,0.278959416,0.116802589,0.153166439,0.152069534,0.421134688,0.101918673,0.046203296,0.088149189,0.054298045,0.072524317,0.131976817
11,0.41745328,1.016852049,0.422487161,0.13329816,0.383802729,0.162221549,0.207146523,0.209323081,0.567115391,0.140410034,0.070032168,0.122866457,0.082793853,0.103452123,0.20217787
11,0.42000973,1.010473815,0.427365885,0.137518546,0.393057926,0.16274552,0.213545677,0.214737301,0.579629979,0.145092651,0.071353623,0.127487483,0.086083566,0.108139344,0.208564018
11,0.414704551,1.001906429,0.426143625,0.141824209,0.40314399,0.167357642,0.2192531,0.216069868,0.598129804,0.149479888,0.074831153,0.133319877,0.092276995,0.113449187,0.220208571
12,0.258138294,0.793676498,0.377326751,0.150917721,0.419653027,0.171793323,0.268344521,0.300977518,0.685886059,0.186114248,0.096181063,0.175670287,0.102843154,0.1513564,0.283961875
12,0.284542727,0.870021433,0.406990465,0.163940723,0.455774953,0.189558618,0.294204594,0.327495796,0.746854666,0.203498991,0.105099279,0.191592806,0.112250228,0.166849527,0.307695508
12,0.274210665,0.870459032,0.397378008,0.164027358,0.454851676,0.187907422,0.293172789,0.327899192,0.749540782,0.204161773,0.107619219,0.195219754,0.113698479,0.167747025,0.311231365
13,0.396197894,1.300019614,0.527210176,0.180377746,0.591888717,0.244495617,0.323445395,0.263783398,0.867529464,0.224622227,0.112967442,0.195276822,0.14442629,0.186326196,0.38733964
13,0.401925668,1.312933365,0.536658701,0.188235988,0.605790468,0.254574676,0.334655672,0.265769793,0.878982489,0.234112813,0.121907435,0.206542656,0.153592285,0.19740935,0.403221222
13,0.397676644,1.303768782,0.533517355,0.185468248,0.599669911,0.252369233,0.332842204,0.268808071,0.869837143,0.232352668,0.118230722,0.202232312,0.150602986,0.194941448,0.404504103
14,0.409238088,1.284693222,0.531445834,0.187940537,0.567093028,0.247772447,0.328248845,0.321232509,0.846487362,0.201700291,0.087208237,0.171955968,0.102297102,0.143589066,0.235927609
14,0.409467393,1.275826364,0.526803155,0.180902103,0.547388355,0.236803165,0.314095565,0.31421377,0.806595787,0.190086979,0.082810069,0.1601441,0.106508444,0.137070872,0.219813786
14,0.421546208,1.312065055,0.539028425,0.192339121,0.576447015,0.249572112,0.331106053,0.330991629,0.845880435,0.201529688,0.088483698,0.171901269,0.112151082,0.146854731,0.237424482
15,0.291643853,1.051423217,0.422203577,0.117162033,0.329913667,0.140241988,0.204556428,0.178889757,0.531569538,0.128431389,0.05865386,0.117977761,0.068984985,0.089346705,0.168877195
15,0.276967058,1.003875924,0.397564035,0.110598435,0.316805186,0.134590575,0.195322414,0.171662589,0.512480864,0.123408265,0.056290322,0.11250754,0.065817609,0.085093346,0.162188313
15,0.267691465,0.967776584,0.38851386,0.107638652,0.310928232,0.128619205,0.190720351,0.168687047,0.495656406,0.116994852,0.054445077,0.110521178,0.064224484,0.083424281,0.158249303
16,0.299302844,0.919552299,0.35245837,0.108401523,0.312768786,0.13350949,0.179006587,0.159685714,0.455632762,0.108968748,0.051236637,0.091360788,0.059656072,0.076524268,0.147103705
16,0.295798788,0.906216463,0.345244752,0.10426107,0.30256754,0.126882758,0.171612427,0.151999646,0.437556882,0.104625478,0.047665666,0.085743322,0.055752771,0.071924477,0.137435705
16,0.29568,0.909049094,0.355108325,0.108890772,0.304802826,0.128201098,0.170282408,0.152104058,0.441581195,0.105722467,0.04171394,0.087344214,0.057791232,0.073158074,0.140512662
17,0.29578124,1.057569145,0.443693634,0.147146976,0.436345032,0.187114573,0.250484601,0.234707836,0.689114239,0.166731124,0.087161407,0.160648801,0.10550644,0.127887568,0.217832851
17,0.300633601,1.061781502,0.447724657,0.145885892,0.432333028,0.186586369,0.25351652,0.247918502,0.679832516,0.161186505,0.080240886,0.153688878,0.100934028,0.123020529,0.21272617
17,0.322533381,1.120207042,0.474532823,0.158820859,0.476789602,0.201388255,0.273434744,0.269362474,0.714732148,0.181512163,0.096052724,0.173840893,0.115489236,0.138575842,0.234541618
18,0.52794138,1.315461291,0.53876158,0.174742241,0.533138723,0.232964848,0.254273014,0.22989916,0.747594495,0.176164019,0.062256139,0.117141261,0.090852074,0.107686213,0.175637934
18,0.490385928,1.237202618,0.50528672,0.16528104,0.500663007,0.218838249,0.24038144,0.215596547,0.704771332,0.165761918,0.058418933,0.110420125,0.084836816,0.101745947,0.165751866
18,0.514348641,1.286492584,0.526120755,0.171309929,0.528015036,0.228984236,0.249540023,0.224579955,0.737659394,0.173510191,0.061981139,0.11664349,0.089883271,0.107027618,0.173535786
19,0.32266056,1.114153764,0.42419827,0.096549257,0.332510696,0.144618151,0.186955194,0.191639474,0.51954265,0.116919578,0.054580431,0.11059665,0.073485274,0.086776321,0.150815762
19,0.211998768,0.766689189,0.290754363,0.083557092,0.262060942,0.113566019,0.145113928,0.141783601,0.414683443,0.097100223,0.04634808,0.094282225,0.062184515,0.074435442,0.129683656
19,0.287611419,1.008204575,0.381185453,0.10438219,0.305189818,0.132582549,0.168704395,0.171149908,0.461617475,0.107029851,0.049637303,0.100996478,0.066791522,0.079510151,0.13749965
20,0.242826316,0.82432397,0.320350874,0.071203565,0.267589826,0.109142288,0.135948727,0.140274679,0.413099595,0.079767391,0.045166768,0.090412996,0.057380456,0.071870608,0.130565095
20,0.234291229,0.807072937,0.313572158,0.082686028,0.27166134,0.111590739,0.138899337,0.143505027,0.409272506,0.081665936,0.047066676,0.095126784,0.059822225,0.076535767,0.138397491
20,0.229107044,0.771090127,0.301981323,0.074805987,0.250147129,0.102058926,0.126882278,0.13139625,0.378740164,0.073639825,0.041386438,0.083406408,0.052544015,0.066569833,0.121183985
